,id,state,Clinton,Trump,Undecided,days_to_election,electoral_votes,sample_size
537,537,maryland,0.54,0.32,0.14,36,10,686
538,538,maryland,0.53,0.32,0.15,43,10,705
539,539,maryland,0.63,0.27,0.02,40,10,706
540,540,maryland,0.58,0.25,0.09,50,10,514
541,541,maryland,0.53,0.29,0.18,64,10,525
542,542,maryland,0.61,0.31,0.08,79,10,1199
543,543,maryland,0.54,0.25,0.12,76,10,756
544,544,maryland,0.61,0.28,0.11,206,10,879
545,545,maryland,0.63,0.27,0.1,215,10,2563
546,546,maryland,0.63,0.28,0.04,221,10,NA
547,547,massachusetts,0.56,0.3,0.04,4,11,1378
548,548,massachusetts,0.59,0.37,0.04,5,11,330
549,549,massachusetts,0.53,0.36,0.11,12,11,512
550,550,massachusetts,0.56,0.26,0.07,11,11,417
551,551,massachusetts,0.58,0.29,0.02,11,11,796
552,552,massachusetts,0.58,0.39,NA,13,11,325
553,553,massachusetts,0.57,0.25,0.12,14,11,500
554,554,massachusetts,0.61,0.28,0.02,18,11,675
555,555,massachusetts,0.54,0.28,0.06,24,11,502
556,556,massachusetts,0.49,0.3,0.21,43,11,904
557,557,massachusetts,0.58,0.26,0.05,41,11,403
558,558,massachusetts,0.47,0.34,0.05,52,11,700
559,559,massachusetts,0.53,0.31,0.16,64,11,691
560,560,massachusetts,0.54,0.28,0.03,60,11,506
561,561,massachusetts,0.56,0.33,0.12,79,11,1167
562,562,massachusetts,0.55,0.31,0.14,188,11,500
563,563,massachusetts,0.62,0.26,0.12,217,11,497
564,564,michigan,0.44,0.42,0.02,4,16,3145
565,565,michigan,0.49,0.45,0.06,5,16,334
566,566,michigan,0.46,0.45,0.09,12,16,609
567,567,michigan,0.46,0.41,0.06,5,16,957
568,568,michigan,0.43,0.42,0.03,11,16,1649
569,569,michigan,0.52,0.32,0.1,38,16,746
570,570,michigan,0.51,0.46,NA,13,16,337
571,571,michigan,0.45,0.37,0.15,16,16,600
572,572,michigan,0.44,0.4,0.04,18,16,1663
573,573,michigan,0.41,0.36,0.12,21,16,600
574,574,michigan,0.4,0.36,0.15,27,16,1370
575,575,michigan,0.51,0.42,0.08,27,16,1331
576,576,michigan,0.44,0.37,0.19,36,16,2192
577,577,michigan,0.47,0.33,0.14,29,16,600
578,578,michigan,0.45,0.38,0.17,43,16,687
579,579,michigan,0.46,0.36,0.16,37,16,600
580,580,michigan,0.46,0.39,0.11,42,16,600
581,581,michigan,0.44,0.44,0.12,64,16,991
582,582,michigan,0.42,0.38,0.17,57,16,600
583,583,michigan,0.46,0.44,0.1,79,16,2428
584,584,michigan,0.44,0.37,0.11,77,16,500
585,585,michigan,0.46,0.36,0.17,99,16,600
586,586,michigan,0.41,0.32,0.15,100,16,600
587,587,michigan,0.42,0.39,0.08,117,16,1201
588,588,michigan,0.34,0.29,0.31,118,16,800
589,589,michigan,0.4,0.34,0.27,123,16,600
590,590,michigan,0.48,0.41,NA,124,16,1562
591,591,michigan,0.5,0.39,0.05,146,16,300
592,592,michigan,0.43,0.39,0.15,167,16,600
593,593,michigan,0.49,0.38,0.13,230,16,904
594,594,michigan,0.47,0.37,0.16,232,16,600
595,595,michigan,0.52,0.36,0.13,251,16,2229
596,596,michigan,0.44,0.39,0.13,258,16,600
597,597,michigan,0.46,0.38,0.16,377,16,600
598,598,michigan,0.42,0.42,NA,417,16,1483
599,599,michigan,0.43,0.4,NA,424,16,600
600,600,michigan,0.44,0.42,0.14,446,16,600
601,601,michigan,0.39,0.4,NA,456,16,1310
602,602,michigan,0.49,0.39,0.12,500,16,1072
603,603,minnesota,0.46,0.39,0.03,4,10,1292
604,604,minnesota,0.5,0.46,0.04,5,10,330
605,605,minnesota,0.44,0.36,0.2,12,10,762
606,606,minnesota,0.46,0.37,0.04,11,10,773
607,607,minnesota,0.5,0.47,NA,13,10,316
608,608,minnesota,0.49,0.39,0.03,15,10,656
609,609,minnesota,0.47,0.36,0.04,18,10,566
610,610,minnesota,0.47,0.39,0.06,18,10,625
611,611,minnesota,0.43,0.36,0.21,36,10,689
612,612,minnesota,0.42,0.38,0.2,43,10,720
613,613,minnesota,0.46,0.39,0.06,51,10,625
614,614,minnesota,0.44,0.34,0.22,64,10,641
615,615,minnesota,0.44,0.38,0.1,56,10,625
616,616,minnesota,0.49,0.4,0.1,79,10,2054
617,617,minnesota,0.43,0.38,0.19,294,10,800
618,618,minnesota,0.42,0.45,0.13,374,10,516
619,619,minnesota,0.44,0.39,0.17,465,10,1015
620,620,mississippi,0.42,0.5,0.02,4,6,719
621,621,mississippi,0.42,0.54,0.04,5,6,330
622,622,mississippi,0.36,0.53,0.11,12,6,388
623,623,mississippi,0.41,0.48,0.03,11,6,648
624,624,mississippi,0.42,0.55,NA,13,6,313
625,625,mississippi,0.42,0.5,0.02,18,6,704
626,626,mississippi,0.41,0.49,0.1,36,6,404
627,627,mississippi,0.4,0.51,0.09,43,6,405
628,628,mississippi,0.37,0.51,0.12,64,6,348
629,629,mississippi,0.46,0.48,0.06,79,6,823
630,630,mississippi,0.43,0.46,0.11,224,6,625
631,631,missouri,0.4,0.48,0.02,4,10,1368
632,632,missouri,0.44,0.49,0.07,5,10,380
633,633,missouri,0.4,0.48,0.12,12,10,836
634,634,missouri,0.41,0.52,0.07,8,10,1083
635,635,missouri,0.38,0.47,0.11,10,10,508
636,636,missouri,0.38,0.52,0.04,9,10,405
637,637,missouri,0.39,0.46,0.02,11,10,671
638,638,missouri,0.44,0.53,NA,13,10,374
639,639,missouri,0.42,0.47,0.07,14,10,625
640,640,missouri,0.36,0.5,0.02,18,10,716
641,641,missouri,0.36,0.48,0.16,36,10,812
642,642,missouri,0.41,0.46,0.05,29,10,406
643,643,missouri,0.37,0.49,0.14,43,10,871
644,644,missouri,0.37,0.46,0.07,47,10,1087
645,645,missouri,0.36,0.53,0.11,64,10,693
646,646,missouri,0.41,0.51,0.09,79,10,1801
647,647,missouri,0.41,0.47,0.11,74,10,1055
648,648,missouri,0.43,0.44,0.05,79,10,401
649,649,missouri,0.42,0.45,0.13,92,10,947
650,650,missouri,0.41,0.4,0.09,108,10,625
651,651,missouri,0.37,0.47,0.07,109,10,1943
652,652,missouri,0.36,0.46,0.1,120,10,959
653,653,missouri,0.42,0.4,0.11,232,10,674
654,654,missouri,0.38,0.43,0.19,246,10,475
655,655,missouri,0.39,0.48,0.13,458,10,859
656,656,montana,0.3,0.52,0.04,4,3,449
657,657,montana,0.41,0.54,0.05,5,3,339
658,658,montana,0.36,0.49,0.02,11,3,405
659,659,montana,0.41,0.55,NA,13,3,340
660,660,montana,0.35,0.52,0.04,18,3,475
661,661,montana,0.27,0.43,0.2,32,3,590
662,662,montana,0.38,0.51,0.12,79,3,999
663,663,nebraska,0.35,0.52,0.03,4,5,988
664,664,nebraska,0.38,0.56,0.06,5,5,340
665,665,nebraska,0.32,0.53,0.15,12,5,350
666,666,nebraska,0.32,0.52,0.02,11,5,412
667,667,nebraska,0.38,0.58,NA,13,5,334
668,668,nebraska,0.33,0.52,0.02,18,5,461
669,669,nebraska,0.33,0.49,0.18,36,5,386
670,670,nebraska,0.32,0.48,0.2,43,5,356
671,671,nebraska,0.32,0.51,0.17,64,5,267
672,672,nebraska,0.38,0.49,0.13,79,5,983
673,673,nevada,0.45,0.43,0.03,4,6,1207
674,674,nevada,0.42,0.42,0.09,3,6,387
675,675,nevada,0.49,0.46,NA,5,6,323
676,676,nevada,0.45,0.42,0.13,12,6,571
677,677,nevada,0.45,0.46,0.04,7,6,1793
678,678,nevada,0.48,0.45,0.07,8,6,688
679,679,nevada,0.45,0.38,0.07,9,6,892
680,680,nevada,0.45,0.45,0.04,9,6,600
681,681,nevada,0.43,0.49,0.01,10,6,790
682,682,nevada,0.43,0.42,0.03,11,6,1010
683,683,nevada,0.44,0.48,0.03,9,6,787
684,684,nevada,0.48,0.46,NA,13,6,314
685,685,nevada,0.45,0.45,0.01,17,6,707
686,686,nevada,0.44,0.44,0.02,18,6,967
687,687,nevada,0.48,0.41,0.04,17,6,800
688,688,nevada,0.44,0.47,0.03,18,6,1332
689,689,nevada,0.46,0.42,0.04,18,6,826
690,690,nevada,0.47,0.4,0.03,23,6,413
691,691,nevada,0.47,0.46,0.07,27,6,884
692,692,nevada,0.46,0.44,0,27,6,698
693,693,nevada,0.46,0.4,0.04,26,6,996
694,694,nevada,0.43,0.41,0.09,27,6,600
695,695,nevada,0.41,0.39,0.2,36,6,641
696,696,nevada,0.43,0.43,0.08,29,6,1010
697,697,nevada,0.47,0.43,0.1,29,6,986
698,698,nevada,0.46,0.42,0.12,43,6,620
699,699,nevada,0.44,0.41,0.07,40,6,700
700,700,nevada,0.44,0.38,0.06,41,6,500
701,701,nevada,0.4,0.43,0.03,50,6,704
702,702,nevada,0.42,0.42,0.04,55,6,400
703,703,nevada,0.39,0.42,0.04,52,6,800
704,704,nevada,0.38,0.41,0.21,64,6,549
705,705,nevada,0.4,0.42,0.1,56,6,398
706,706,nevada,0.42,0.44,0.06,57,6,406
707,707,nevada,0.45,0.44,0.03,62,6,627
708,708,nevada,0.45,0.42,0.13,63,6,815
709,709,nevada,0.48,0.43,0.1,79,6,2776
710,710,nevada,0.44,0.42,0.05,84,6,500
711,711,nevada,0.43,0.41,0.06,96,6,993
712,712,nevada,0.41,0.4,0.05,101,6,750
713,713,nevada,0.38,0.43,0.07,108,6,750
714,714,nevada,0.45,0.41,0.08,122,6,408
715,715,nevada,0.45,0.47,0.04,146,6,300
716,716,nevada,0.42,0.47,NA,168,6,1637
717,717,nevada,0.41,0.44,0.14,361,6,628
718,718,new-hampshire,0.47,0.38,0.03,4,4,696
719,719,new-hampshire,0.49,0.38,0.04,3,4,692
720,720,new-hampshire,0.49,0.43,NA,5,4,310
721,721,new-hampshire,0.44,0.42,0.14,12,4,316
722,722,new-hampshire,0.41,0.43,0.03,7,4,1001
723,723,new-hampshire,0.42,0.42,0.09,7,4,500
724,724,new-hampshire,0.43,0.48,0.04,7,4,600
725,725,new-hampshire,0.44,0.44,0.04,9,4,695
726,726,new-hampshire,0.44,0.45,0.1,9,4,695
727,727,new-hampshire,0.48,0.43,0.09,8,4,781
728,728,new-hampshire,0.39,0.4,0.07,8,4,500
729,729,new-hampshire,0.42,0.44,0.07,8,4,500
730,730,new-hampshire,0.48,0.35,0.03,11,4,659
731,731,new-hampshire,0.46,0.39,0.05,11,4,618
732,732,new-hampshire,0.5,0.47,NA,13,4,307
733,733,new-hampshire,0.46,0.42,0.04,15,4,401
734,734,new-hampshire,0.47,0.39,0.02,17,4,768
735,735,new-hampshire,0.45,0.36,0.03,17,4,768
736,736,new-hampshire,0.49,0.37,0.02,18,4,779
737,737,new-hampshire,0.43,0.38,0.04,20,4,772
738,738,new-hampshire,0.49,0.34,0.03,25,4,755
739,739,new-hampshire,0.5,0.43,0.08,27,4,569
740,740,new-hampshire,0.47,0.36,0.02,27,4,569
741,741,new-hampshire,0.46,0.42,0.12,36,4,282
742,742,new-hampshire,0.41,0.38,0.07,28,4,501
743,743,new-hampshire,0.46,0.41,0.06,28,4,501
744,744,new-hampshire,0.45,0.39,0.04,30,4,517
745,745,new-hampshire,0.49,0.4,0.11,43,4,293
746,746,new-hampshire,0.44,0.42,0.08,35,4,500
747,747,new-hampshire,0.46,0.38,0.06,38,4,500
748,748,new-hampshire,0.42,0.35,0.06,41,4,502
749,749,new-hampshire,0.47,0.38,0.08,41,4,502
750,750,new-hampshire,0.43,0.37,0.04,43,4,600
751,751,new-hampshire,0.46,0.4,0.13,43,4,600
752,752,new-hampshire,0.46,0.42,0.05,47,4,522
753,753,new-hampshire,0.47,0.38,0.03,50,4,400
754,754,new-hampshire,0.48,0.39,0.13,64,4,269
755,755,new-hampshire,0.42,0.41,0.03,62,4,737
756,756,new-hampshire,0.39,0.37,0.05,62,4,737
757,757,new-hampshire,0.49,0.4,0.11,79,4,1218
758,758,new-hampshire,0.4,0.34,0.06,79,4,1218
759,759,new-hampshire,0.46,0.41,0.13,70,4,585
760,760,new-hampshire,0.46,0.4,0.14,73,4,977
761,761,new-hampshire,0.45,0.36,0.05,76,4,433
762,762,new-hampshire,0.43,0.32,0.05,76,4,433
763,763,new-hampshire,0.45,0.36,0.07,89,4,990
764,764,new-hampshire,0.41,0.31,0.13,93,4,820
765,765,new-hampshire,0.47,0.32,0.09,100,4,609
766,766,new-hampshire,0.39,0.48,0.14,111,4,1166
767,767,new-hampshire,0.39,0.37,0.06,118,4,532
768,768,new-hampshire,0.37,0.37,0.06,118,4,532
769,769,new-hampshire,0.47,0.42,0.07,135,4,533
770,770,new-hampshire,0.43,0.39,0.18,139,4,578
771,771,new-hampshire,0.44,0.43,0.03,146,4,300
772,772,new-hampshire,0.41,0.41,0.04,146,4,300
773,773,new-hampshire,0.44,0.44,0.12,165,4,405
774,774,new-hampshire,0.44,0.42,0.07,178,4,501
775,775,new-hampshire,0.5,0.31,0.04,210,4,533
776,776,new-hampshire,0.34,0.29,0.37,209,4,362
777,777,new-hampshire,0.47,0.39,0.04,258,4,628
778,778,new-hampshire,0.45,0.4,0.15,276,4,1411
779,779,new-hampshire,0.48,0.39,0.03,298,4,885
780,780,new-hampshire,0.45,0.44,0.11,309,4,957
781,781,new-hampshire,0.5,0.36,0.14,308,4,1036
782,782,new-hampshire,0.47,0.41,0.12,343,4,990
783,783,new-hampshire,0.47,0.4,0.1,358,4,804
784,784,new-hampshire,0.45,0.38,0.17,363,4,530
785,785,new-hampshire,0.47,0.41,0.12,388,4,880
786,786,new-hampshire,0.48,0.45,0.08,408,4,1044
787,787,new-hampshire,0.5,0.42,0.05,415,4,743
788,788,new-hampshire,0.46,0.45,0.08,436,4,910
789,789,new-hampshire,0.46,0.44,0.1,443,4,841
790,790,new-hampshire,0.5,0.4,0.07,471,4,652
791,791,new-jersey,0.52,0.37,0.03,4,14,1377
792,792,new-jersey,0.55,0.41,0.04,5,14,348
793,793,new-jersey,0.48,0.38,0.14,12,14,658
794,794,new-jersey,0.51,0.4,0.06,9,14,678
795,795,new-jersey,0.55,0.35,0.03,11,14,724
796,796,new-jersey,0.57,0.4,NA,13,14,353
797,797,new-jersey,0.52,0.36,0.03,18,14,590
798,798,new-jersey,0.51,0.4,0.05,25,14,579
799,799,new-jersey,0.5,0.32,0.18,36,14,1084
800,800,new-jersey,0.49,0.34,0.17,43,14,595
801,801,new-jersey,0.46,0.4,0.05,43,14,638
802,802,new-jersey,0.49,0.33,0.18,64,14,982
803,803,new-jersey,0.5,0.29,0.07,61,14,726
804,804,new-jersey,0.53,0.38,0.09,79,14,912
805,805,new-jersey,0.44,0.32,0.09,137,14,349
806,806,new-jersey,0.49,0.34,0.08,159,14,1194
807,807,new-jersey,0.38,0.34,0.17,167,14,703
808,808,new-jersey,0.48,0.37,0.08,172,14,702
809,809,new-jersey,0.45,0.38,0.13,179,14,1989
810,810,new-jersey,0.5,0.36,0.03,217,14,738
811,811,new-mexico,0.4,0.38,0.02,4,5,749
812,812,new-mexico,0.47,0.38,0.15,5,5,330
813,813,new-mexico,0.41,0.38,0.21,12,5,275
814,814,new-mexico,0.45,0.4,0.02,6,5,504
815,815,new-mexico,0.46,0.43,0.01,7,5,1102
816,816,new-mexico,0.39,0.31,0.07,9,5,567
817,817,new-mexico,0.44,0.34,0.02,11,5,987
818,818,new-mexico,0.5,0.44,NA,13,5,322
819,819,new-mexico,0.41,0.34,0.02,18,5,1095
820,820,new-mexico,0.5,0.39,0.1,27,5,889
821,821,new-mexico,0.44,0.36,0.2,36,5,263
822,822,new-mexico,0.49,0.36,0.15,43,5,263
823,823,new-mexico,0.46,0.33,0.03,39,5,594
824,824,new-mexico,0.44,0.34,0.08,41,5,501
825,825,new-mexico,0.51,0.37,0.13,79,5,1788
826,826,new-mexico,0.4,0.31,0.09,80,5,1103
827,827,new-mexico,0.41,0.33,0.12,178,5,802
828,828,new-york,0.57,0.32,0.02,4,29,2208
829,829,new-york,0.59,0.38,0.03,5,29,458
830,830,new-york,0.51,0.33,0.16,12,29,1383
831,831,new-york,0.51,0.34,0.07,5,29,617
832,832,new-york,0.56,0.33,0.01,11,29,1734
833,833,new-york,0.58,0.38,0.04,13,29,403
834,834,new-york,0.58,0.31,0.02,18,29,1169
835,835,new-york,0.54,0.3,0.06,24,29,611
836,836,new-york,0.53,0.27,0.2,36,29,986
837,837,new-york,0.55,0.31,0.14,43,29,1437
838,838,new-york,0.57,0.33,0.02,47,29,676
839,839,new-york,0.52,0.31,0.03,47,29,676
840,840,new-york,0.51,0.3,0.07,56,29,600
841,841,new-york,0.53,0.3,0.17,64,29,1089
842,842,new-york,0.57,0.35,0.09,79,29,1405
843,843,new-york,0.51,0.31,0.05,79,29,1405
844,844,new-york,0.57,0.27,0.13,91,29,717
845,845,new-york,0.5,0.25,0.09,91,29,717
846,846,new-york,0.53,0.36,0,94,29,1717
847,847,new-york,0.48,0.34,0,94,29,1717
848,848,new-york,0.47,0.35,0.14,116,29,1104
849,849,new-york,0.45,0.33,0.12,116,29,1104
850,850,new-york,0.54,0.31,0.16,136,29,803
851,851,new-york,0.52,0.31,0.17,168,29,825
852,852,new-york,0.56,0.3,0.15,196,29,802
853,853,new-york,0.55,0.36,0.09,206,29,1047
854,854,new-york,0.55,0.35,0.1,213,29,1403
855,855,new-york,0.61,0.32,0.07,214,29,1987
856,856,new-york,0.51,0.35,0.14,215,29,1306
857,857,new-york,0.54,0.36,0.1,216,29,864
858,858,new-york,0.53,0.37,0.08,216,29,1403
859,859,new-york,0.53,0.33,0.11,227,29,1667
860,860,new-york,0.55,0.36,0.1,238,29,768
861,861,new-york,0.57,0.34,0.1,252,29,800
862,862,new-york,0.57,0.32,0.11,280,29,930
863,863,north-carolina,0.48,0.41,0.03,4,15,3126
864,864,north-carolina,0.44,0.44,0.06,3,15,800
865,865,north-carolina,0.47,0.45,0.04,3,15,870
866,866,north-carolina,0.48,0.45,0.04,3,15,870
867,867,north-carolina,0.47,0.48,0.05,5,15,357
868,868,north-carolina,0.46,0.47,0.07,12,15,650
869,869,north-carolina,0.45,0.48,0.02,7,15,2596
870,870,north-carolina,0.49,0.47,0.04,8,15,1169
871,871,north-carolina,0.47,0.44,0.05,10,15,602
872,872,north-carolina,0.48,0.46,0.04,10,15,602
873,873,north-carolina,0.44,0.51,0.03,9,15,659
874,874,north-carolina,0.47,0.44,0.02,11,15,1574
875,875,north-carolina,0.45,0.47,0.04,9,15,1176
876,876,north-carolina,0.48,0.48,0,13,15,351
877,877,north-carolina,0.48,0.45,0.02,12,15,992
878,878,north-carolina,0.42,0.41,0.12,14,15,710
879,879,north-carolina,0.5,0.44,0.02,14,15,780
880,880,north-carolina,0.47,0.41,0.02,14,15,780
881,881,north-carolina,0.47,0.43,0.04,16,15,702
882,882,north-carolina,0.5,0.44,0.04,16,15,702
883,883,north-carolina,0.47,0.43,0.03,18,15,1825
884,884,north-carolina,0.46,0.39,0.06,17,15,792
885,885,north-carolina,0.49,0.41,0.05,17,15,792
886,886,north-carolina,0.47,0.46,0.02,17,15,402
887,887,north-carolina,0.47,0.44,0.05,18,15,875
888,888,north-carolina,0.49,0.46,0.05,18,15,875
889,889,north-carolina,0.44,0.47,0.05,18,15,1764
890,890,north-carolina,0.45,0.43,0.07,27,15,1233
891,891,north-carolina,0.45,0.43,0.05,27,15,1233
892,892,north-carolina,0.42,0.41,0.07,22,15,924
893,893,north-carolina,0.45,0.43,0.06,23,15,600
894,894,north-carolina,0.46,0.44,0.04,23,15,651
895,895,north-carolina,0.48,0.46,0.06,23,15,651
896,896,north-carolina,0.51,0.43,0.07,27,15,1191
897,897,north-carolina,0.46,0.4,0.03,27,15,1191
898,898,north-carolina,0.48,0.47,0,27,15,788
899,899,north-carolina,0.5,0.48,0,27,15,788
900,900,north-carolina,0.46,0.42,0.12,36,15,2059
901,901,north-carolina,0.48,0.43,0.03,28,15,743
902,902,north-carolina,0.45,0.41,0.03,28,15,743
903,903,north-carolina,0.45,0.43,0.07,28,15,500
904,904,north-carolina,0.43,0.42,0.06,36,15,479
905,905,north-carolina,0.44,0.43,0.13,43,15,600
906,906,north-carolina,0.46,0.44,0.06,38,15,656
907,907,north-carolina,0.46,0.45,0.05,38,15,805
908,908,north-carolina,0.44,0.43,0.05,38,15,805
909,909,north-carolina,0.46,0.43,0.03,40,15,507
910,910,north-carolina,0.49,0.46,0.04,40,15,507
911,911,north-carolina,0.45,0.39,0.06,40,15,660
912,912,north-carolina,0.44,0.42,0.07,42,15,861
913,913,north-carolina,0.49,0.45,0.07,42,15,861
914,914,north-carolina,0.38,0.35,0.11,49,15,487
915,915,north-carolina,0.43,0.42,0.06,50,15,404
916,916,north-carolina,0.4,0.45,0.08,50,15,734
917,917,north-carolina,0.42,0.47,0.1,50,15,734
918,918,north-carolina,0.43,0.45,0.07,50,15,1024
919,919,north-carolina,0.47,0.47,0.06,50,15,1024
920,920,north-carolina,0.45,0.43,0.11,51,15,782
921,921,north-carolina,0.41,0.41,0.05,51,15,782
922,922,north-carolina,0.44,0.4,0.03,55,15,400
923,923,north-carolina,0.43,0.44,0.06,55,15,644
924,924,north-carolina,0.46,0.44,0.1,64,15,917
925,925,north-carolina,0.42,0.42,0.09,58,15,600
926,926,north-carolina,0.41,0.44,0.11,63,15,500
927,927,north-carolina,0.47,0.43,0.08,67,15,751
928,928,north-carolina,0.42,0.38,0.05,67,15,751
929,929,north-carolina,0.46,0.42,0.04,68,15,1088
930,930,north-carolina,0.46,0.46,0.08,79,15,2552
931,931,north-carolina,0.4,0.41,0.05,79,15,2552
932,932,north-carolina,0.45,0.44,0.12,74,15,1177
933,933,north-carolina,0.44,0.42,0.06,78,15,401
934,934,north-carolina,0.48,0.47,0.01,80,15,803
935,935,north-carolina,0.45,0.45,0,80,15,803
936,936,north-carolina,0.44,0.43,0.13,84,15,723
937,937,north-carolina,0.38,0.39,0.1,84,15,723
938,938,north-carolina,0.48,0.39,0.07,93,15,921
939,939,north-carolina,0.45,0.36,0.07,93,15,921
940,940,north-carolina,0.43,0.41,0.08,94,15,830
941,941,north-carolina,0.47,0.46,0.07,94,15,830
942,942,north-carolina,0.42,0.46,0.07,99,15,400
943,943,north-carolina,0.41,0.51,0.08,99,15,400
944,944,north-carolina,0.44,0.38,0.06,123,15,907
945,945,north-carolina,0.42,0.36,0.11,123,15,907
946,946,north-carolina,0.44,0.42,0.07,138,15,988
947,947,north-carolina,0.43,0.43,0.07,141,15,947
948,948,north-carolina,0.46,0.48,0.05,141,15,947
949,949,north-carolina,0.51,0.41,0.03,146,15,300
950,950,north-carolina,0.48,0.38,0.04,146,15,300
951,951,north-carolina,0.36,0.39,0.11,170,15,600
952,952,north-carolina,0.41,0.43,0.11,171,15,928
953,953,north-carolina,0.43,0.47,0.09,171,15,928
954,954,north-carolina,0.49,0.37,0.12,198,15,600
955,955,north-carolina,0.44,0.44,0.12,199,15,960
956,956,north-carolina,0.45,0.39,0.03,210,15,621
957,957,north-carolina,0.44,0.42,0.14,234,15,843
958,958,north-carolina,0.42,0.49,0.09,244,15,1576
959,959,north-carolina,0.47,0.41,0.04,265,15,1530
960,960,north-carolina,0.43,0.44,0.13,267,15,1291
961,961,north-carolina,0.43,0.45,0.13,267,15,1250
962,962,north-carolina,0.43,0.45,0.12,295,15,948
963,963,north-carolina,0.43,0.47,0.1,338,15,1214
964,964,north-carolina,0.5,0.4,0.03,374,15,1040
965,965,north-carolina,0.42,0.48,0.1,381,15,893
966,966,north-carolina,0.47,0.43,0.11,406,15,600
967,967,north-carolina,0.42,0.47,0.12,409,15,1268
968,968,north-carolina,0.47,0.4,0.03,416,15,1075
969,969,north-carolina,0.42,0.45,0.14,452,15,957
970,970,north-carolina,0.47,0.44,0.09,493,15,529
971,971,north-dakota,0.29,0.57,0.02,4,3,313
972,972,north-dakota,0.39,0.55,0.06,5,3,307
973,973,north-dakota,0.31,0.53,0.02,11,3,279
974,974,north-dakota,0.37,0.57,NA,13,3,306
975,975,north-dakota,0.31,0.49,0.05,18,3,339
976,976,north-dakota,0.32,0.43,0.16,55,3,400
977,977,north-dakota,0.32,0.6,0.08,79,3,549
978,978,ohio,0.42,0.45,0.03,4,18,2860
979,979,ohio,0.47,0.48,0.05,5,18,345
980,980,ohio,0.47,0.46,0.07,12,18,775
981,981,ohio,0.48,0.47,NA,8,18,1151
982,982,ohio,0.45,0.46,0.02,5,18,1189
983,983,ohio,0.4,0.43,0.02,6,18,1194
984,984,ohio,0.44,0.45,0.03,7,18,2557
985,985,ohio,0.41,0.46,0.05,10,18,589
986,986,ohio,0.4,0.45,0.04,11,18,1823
987,987,ohio,0.43,0.48,0.05,9,18,1187
988,988,ohio,0.5,0.47,NA,13,18,339
989,989,ohio,0.4,0.45,0.04,18,18,1951
990,990,ohio,0.42,0.46,0.06,18,18,1971
991,991,ohio,0.45,0.45,0.06,21,18,500
992,992,ohio,0.45,0.45,0.02,26,18,624
993,993,ohio,0.46,0.48,0.06,27,18,1307
994,994,ohio,0.44,0.48,0,27,18,774
995,995,ohio,0.42,0.43,0.15,36,18,2192
996,996,ohio,0.45,0.45,0.03,28,18,724
997,997,ohio,0.44,0.41,0.07,30,18,1200
998,998,ohio,0.48,0.38,0.14,29,18,1152
999,999,ohio,0.44,0.39,0.09,30,18,1304
1000,1000,ohio,0.46,0.42,0.03,33,18,997
1001,1001,ohio,0.44,0.43,0.06,34,18,782
1002,1002,ohio,0.43,0.4,0.05,34,18,812
1003,1003,ohio,0.46,0.43,0.11,43,18,822
1004,1004,ohio,0.44,0.42,0.06,36,18,405
1005,1005,ohio,0.44,0.42,0.06,40,18,800
1006,1006,ohio,0.42,0.47,0.04,40,18,497
1007,1007,ohio,0.4,0.37,0.02,50,18,652
1008,1008,ohio,0.37,0.42,0.11,50,18,737
1009,1009,ohio,0.39,0.41,0.04,55,18,400
1010,1010,ohio,0.47,0.44,0.09,64,18,625
1011,1011,ohio,0.39,0.42,0.13,56,18,500
1012,1012,ohio,0.43,0.48,0.03,58,18,802
1013,1013,ohio,0.41,0.46,0.01,60,18,769
1014,1014,ohio,0.46,0.39,0.04,61,18,994
1015,1015,ohio,0.45,0.46,0.06,67,18,775
1016,1016,ohio,0.43,0.46,0.11,79,18,2543
1017,1017,ohio,0.46,0.42,0.12,74,18,1134
1018,1018,ohio,0.43,0.39,0.08,80,18,402
1019,1019,ohio,0.46,0.4,0.04,82,18,997
1020,1020,ohio,0.43,0.38,0.09,95,18,889
1021,1021,ohio,0.49,0.45,0.04,97,18,812
1022,1022,ohio,0.39,0.42,0.1,108,18,1334
1023,1023,ohio,0.44,0.44,0.12,112,18,500
1024,1024,ohio,0.44,0.4,0.05,117,18,1104
1025,1025,ohio,0.41,0.41,0.14,125,18,955
1026,1026,ohio,0.39,0.39,0.1,124,18,848
1027,1027,ohio,0.46,0.47,NA,134,18,1270
1028,1028,ohio,0.41,0.38,0.11,136,18,599
1029,1029,ohio,0.44,0.4,0.16,139,18,708
1030,1030,ohio,0.47,0.48,0.02,146,18,300
1031,1031,ohio,0.4,0.4,0.14,147,18,971
1032,1032,ohio,0.45,0.39,0.16,172,18,679
1033,1033,ohio,0.44,0.39,0.17,174,18,992
1034,1034,ohio,0.39,0.43,0.14,189,18,1042
1035,1035,ohio,0.45,0.42,0.14,196,18,799
1036,1036,ohio,0.48,0.42,0.1,246,18,2052
1037,1037,ohio,0.45,0.4,0.15,248,18,1248
1038,1038,ohio,0.5,0.43,0,249,18,884
1039,1039,ohio,0.42,0.44,0.12,264,18,1539
1040,1040,ohio,0.37,0.39,0.04,267,18,825
1041,1041,ohio,0.43,0.42,0.12,405,18,1180
1042,1042,ohio,0.43,0.38,0.16,453,18,1096
1043,1043,oklahoma,0.32,0.57,0.02,4,7,1271
