,id,state,Clinton,Trump,Undecided,days_to_election,electoral_votes,sample_size
129,129,colorado,0.44,0.37,0.08,9,9,972
130,130,colorado,0.42,0.41,0.07,9,9,550
131,131,colorado,0.43,0.39,0.02,11,9,1532
132,132,colorado,0.45,0.44,0.04,9,9,952
133,133,colorado,0.5,0.46,NA,13,9,342
134,134,colorado,0.42,0.39,0.05,12,9,997
135,135,colorado,0.44,0.38,0.03,18,9,1595
136,136,colorado,0.44,0.34,NA,18,9,1004
137,137,colorado,0.45,0.43,0.04,18,9,1581
138,138,colorado,0.45,0.37,0.05,26,9,685
139,139,colorado,0.5,0.41,0.08,27,9,956
140,140,colorado,0.4,0.35,0.06,27,9,500
141,141,colorado,0.44,0.39,0.09,27,9,1226
142,142,colorado,0.47,0.41,0.12,36,9,695
143,143,colorado,0.45,0.45,0.1,43,9,710
144,144,colorado,0.4,0.4,0.06,36,9,1246
145,145,colorado,0.49,0.38,0.03,38,9,400
146,146,colorado,0.44,0.33,0.06,41,9,602
147,147,colorado,0.46,0.4,0.06,42,9,694
148,148,colorado,0.41,0.42,0,47,9,784
149,149,colorado,0.4,0.39,0.1,47,9,991
150,150,colorado,0.44,0.42,0.02,52,9,644
151,151,colorado,0.44,0.35,0.07,53,9,350
152,152,colorado,0.4,0.43,0.17,64,9,563
153,153,colorado,0.46,0.44,0.1,79,9,2428
154,154,colorado,0.41,0.36,0.06,70,9,500
155,155,colorado,0.49,0.39,0.09,87,9,830
156,156,colorado,0.46,0.32,0.06,93,9,899
157,157,colorado,0.44,0.34,0.11,120,9,600
158,158,colorado,0.48,0.35,0.07,120,9,404
159,159,colorado,0.43,0.35,NA,123,9,794
160,160,colorado,0.45,0.38,0.04,123,9,500
161,161,colorado,0.43,0.41,NA,124,9,1313
162,162,colorado,0.4,0.39,0.1,138,9,996
163,163,colorado,0.37,0.48,0.11,361,9,1262
164,164,connecticut,0.52,0.36,0.03,4,7,1387
165,165,connecticut,0.55,0.4,NA,5,7,327
166,166,connecticut,0.5,0.4,0.1,12,7,515
