"FIPS","pct_for_born15","pct_bach_deg15","pct_non_white15","pct_unemp12","pct_unemp16"
"05045",2.92,28.31,15.9,6.2,3.2
"05047",1.24,12.31,5.19,6.7,3.4
"05049",1.54,10.64,3.04,6.8,3.5
"05051",3.15,21.37,14.74,7.5,4
"05053",1.46,17.1,6.18,6.3,3.1
"05055",0.97,15.36,3.78,7.9,4
"05057",6.47,12.18,34.58,7,3.5
"05059",1.1,13.01,14.19,6.8,3.4
"05061",5.68,15.13,32.33,6.5,3
"05063",3.57,15.86,5.59,9,4.2
"05065",2.34,12.67,3.03,7.7,4.2
"05067",0.73,8.81,20.41,9.9,5.3
"05069",1.69,17.52,58.5,9.5,4.9
"05071",7.64,17.06,8.11,6.5,3.9
"05073",0.72,11.82,39.12,9.2,5.3
"05075",0.72,12.87,2.7,7.9,3.5
"05077",1.1,7.87,57.27,8.8,4.1
"05079",1.46,8.87,33.43,8,4.3
"05081",1.15,10.01,26.23,6.8,4.5
"05083",1.84,12.62,6.84,7.6,4
"05085",2.08,19.13,10.67,5.9,3
"05087",3.26,10.74,5.13,5.2,2.7
"05089",1.42,13.23,3.42,7.5,3.6
"05091",0.89,14.29,28.59,5.7,3.9
"05093",1.84,13.16,38.27,9.8,5.5
"05095",1.35,9.38,44.08,8.5,4.2
"05097",2.35,12.3,5.58,7.9,4.3
"05099",1.56,14.12,32.81,7.8,3.1
"05101",1.04,14.55,4.63,7,3.3
"05103",0.81,16.05,42.85,9.6,4.4
"05105",0.83,11.52,6.32,8.5,4.1
"05107",0.77,10.8,63.26,10.4,5
"05109",4.2,14.58,10.72,8.2,3.9
"05111",0.9,8.38,10.65,8,3.6
"05113",3.17,11.97,7.25,6.7,4.4
"05115",4.42,20.87,8.96,6.4,3.8
"05117",0.31,10.33,13.88,7,3.3
"05119",5.21,32.88,41.37,6.4,3.2
"05121",0.58,13.45,3.45,9.5,4
"05123",2.46,11.36,56.56,10.4,4.4
"05125",2.51,23.04,9.59,5.6,2.8
"05127",4.78,11.56,10.52,6.2,3.2
"05129",0.83,13.92,4.47,7.5,4
"05131",9.84,19.17,18.59,7.8,3.2
"05133",17.06,7.93,33.66,8,4.4
"05135",0.67,9.85,4.31,9.3,4.6
"05137",0.31,15.85,3.28,7.5,4.5
"05139",2.08,17.52,35.33,8.4,4.7
"05141",2.28,12.27,4.75,9.4,5.5
"05143",11.41,30.47,21.31,5.1,2.4
"05145",2.37,19.48,8.88,7.3,4.2
"05147",0.63,10.4,30.14,9.3,4.7
"05149",11.06,12.61,18.04,6,3.7
"06001",31.36,42.95,55.3,8.2,4.3
"06003",3.36,27.49,30.77,11.5,7.1
"06005",5.53,21.25,13.49,11,5.5
"06007",7.62,25.86,16.69,10.7,6
"06009",5.19,20.86,7.95,11.3,5.5
"06011",24.51,14.61,14.99,13.9,10.6
"06013",23.94,39.61,39.47,8.4,4.4
"06015",5.87,15.09,23.54,12.6,6.9
"06017",9.43,32.08,13.29,9.3,5
"06019",21.4,19.39,40.38,13.8,9.1
"06021",17.94,14.87,14.74,11.2,6.7
"06023",5.75,27.99,18.67,8.6,4.7
"06025",32.58,14.08,29.12,28.2,24.2
"06027",10.12,23.85,17.27,8.4,4.8
"06029",20.34,15.4,25.3,11.6,9.1
"06031",18.61,13.39,31.6,13.7,9
"06033",8.98,15.96,20.39,11.7,6.4
"06035",6.59,12.28,25.12,9.3,5.4
"06037",34.72,30.27,46.74,10.4,5.1
"06039",21.62,13.34,18.35,12.5,8.4
"06041",18.21,55.77,20.68,5.9,3.3
"06043",6.5,22.09,12.43,10.2,5.6
"06045",12.72,23.65,17.17,8.8,4.8
"06047",25.49,13.08,38.83,13.5,8.5
"06049",6.16,17.98,9.82,11.8,7.1
"06051",16.71,32.32,15.92,10.8,6.3
"06053",30.11,23.13,26.69,8.9,5.4
"06055",23.01,32.43,25.93,7.2,3.8
"06057",6.25,33.68,7.63,9,4.6
"06059",30.51,37.74,36.78,7.5,4.1
"06061",10.51,36.44,16.36,8.8,4.5
"06063",4.46,21.96,9.88,12.7,6.9
"06065",22.01,20.93,35.39,11.2,6.3
"06067",20.44,28.8,40.41,9.9,5.4
"06069",20.33,19,15.47,11.2,5.8
"06071",21.28,18.97,37.85,10.9,5.8
"06073",23.53,35.72,29.15,8.7,4.7
"06075",35.14,53.83,51.27,6.2,3.4
"06077",23.32,18.37,43,12.8,7.6
"06079",10.55,32.99,14.99,7.6,4.1
"06081",34.55,45.62,45.02,6,3.1
"06083",23.01,32.17,25.72,7.7,4.6
"06085",37.69,47.94,51.7,7.3,3.8
"06087",18.36,38.24,19.45,9.6,5.3
"06089",4.9,19.61,13.24,12.7,6.4
"06091",3.71,18.85,3.57,11.7,6.4
"06093",4.89,22.69,14.05,12.8,6.9
"06095",20.08,24.93,46.19,9.8,5.3
"06097",16.6,32.89,22.74,8,3.9
"06099",20.63,16.48,24.71,13.3,7.8
"06101",22.47,17.65,30.44,14.4,8.4
"06103",8.38,14.41,13.56,11.6,6.2
"06105",5.47,19.97,14.68,11.8,5.7
"06107",22.53,13.82,19.13,14.9,10.8
"06109",4.55,20.43,11.94,11.8,5.8
"06111",22.8,31.72,21.18,8.7,5.3
"06113",22.06,38.97,33.91,9.6,5.4
"06115",11.97,14.34,29.91,13.6,7.8
"08001",15.06,22.22,17.18,8.6,3.3
"08003",7.15,25.49,12.97,9.3,3.6
"08005",14.79,40.06,26.93,7.1,3
"08007",5.27,35,12.63,8.9,3
"08009",2.57,18.96,4.24,4.3,1.9
"08011",6.99,6.96,16.17,7.8,2.6
"08013",10.67,58.9,11.6,5.8,2.5
"08014",9.52,51.87,13.25,6.1,2.8
"08015",2.63,34.05,6.14,6.1,2.6
"08017",5.34,22.47,3.7,4.2,2.6
"08019",3.6,41.49,5.99,6.4,3
"08021",3.22,19.48,8.34,9,3.9
"08023",7.29,17.91,7.04,9.7,4.2
"08025",3.86,11.09,15.96,7.9,3
"08027",1.98,35.48,6.02,5.8,3.2
"08029",4.08,20,5.1,8.8,4.5
"08031",16.07,44.95,23.92,7.1,3
"08033",1.07,20.99,3.81,8.8,3.5
"08035",6.97,56.6,9.49,5.6,2.6
"08037",19.04,46.74,11.45,6.9,3
"08039",4.13,30.61,4.72,6.5,2.5
"08041",7.15,35.86,19.75,8.1,3.5
"08043",3.34,15.25,12.01,10.8,4.8
"08045",14.68,29.67,11.91,7.9,3.2
"08047",3.48,32.09,7.85,6.3,2.2
"08049",7.06,36.43,8.28,7.1,2.6
"08051",3.9,54.43,4.34,5.5,2.2
"08053",1.03,40.36,1.6,5.1,2.3
"08055",2.95,27.06,13.75,12.9,5.3
"08057",4.04,18.12,6.82,4.4,2
"08059",6.51,41.63,9.18,6.7,2.8
"08061",1.98,20.27,6.22,4.6,2.5
"08063",7.91,13.31,7.84,4.1,2.2
"08065",10.76,27.44,12.93,7.9,3
"08067",3.78,43.33,11.42,5.7,2.6
"08069",5.2,44.27,8.92,6.1,2.6
"08071",4.23,16.97,17.33,11.9,4.3
"08073",5.97,15.07,15.48,5.9,2.7
"08075",7.04,15.79,8.66,5.3,3
"08077",3.55,26.27,7.2,8.9,4.5
"08079",0.95,42.34,10.1,5,2.5
"08081",6.03,15.32,6.94,7,3.1
"08083",2.75,26.74,16.98,7.4,3.9
"08085",7.18,24.49,7.42,9.1,3.5
"08087",12.72,14.9,10.01,6.3,3.1
"08089",5.47,15.6,9.35,9.7,4
"08091",2.66,52.03,2.27,8,3.3
"08093",4.27,29.21,4.11,6.1,2.6
"08095",8.97,21.24,4.92,4.7,2.1
"08097",11.76,59.08,5.56,8,4.4
"08099",10.97,13.54,4.82,6.6,2.8
"08101",3.92,21.62,21.24,10.1,4.4
"08103",4.53,21.97,5.83,7.5,4.2
"08105",7.07,21.97,15.55,10.4,4.4
"08107",5.8,50.41,5.11,7,2.8
"08109",11.54,27.04,12.34,9.8,4
"08111",1.98,29.11,5.78,7.6,2.6
"08113",7.2,53.87,4.09,7.6,2.9
"08115",3.76,20.56,8.29,6.3,2.4
"08117",11.78,48.8,10.32,6.4,2.4
"08119",2.68,31.78,5.72,7.5,3.6
"08121",3.21,16.29,3.96,4.9,2.1
"08123",8.23,26.1,12.79,6.9,3
"08125",10.32,21.53,5.85,4.8,2.1
"09001",20.86,45.81,26.08,7.6,4.3
"09003",15.14,36.33,27.37,8.4,4.7
"09005",7.29,33.58,6.49,7,3.9
"09007",7.47,40.58,11.01,6.7,3.8
"09009",11.98,34,24.99,8.8,5
"09011",8.26,32.15,18.53,8.4,4.5
"09013",6.79,38.04,10.84,6.6,3.6
"09015",5.29,23.13,9.69,8.9,4.7
"10001",5.45,22.54,32.79,7.8,4.5
"10003",10.32,35.04,34.53,6.9,4.2
"10005",6.85,23.2,18.55,7.1,4.1
"11001",14.15,54.58,59.79,8.7,6.2
"12001",10.26,41.57,30.13,6.2,4.4
"12003",1.5,11.49,16.53,7.9,4.7
"12005",4.84,22.22,17.93,8.3,4.9
"12007",2.23,10.87,22.41,7.1,4.2
"12009",8.66,27.32,16.95,9,5.2
"12011",32.2,30.82,37.38,7.6,4.6
"12013",3.54,10.53,18.75,8.7,5.8
"12015",10.5,20.79,9.5,9.2,5.5
"12017",5.33,16.94,6.71,10.2,6.7
"12019",7.05,23.76,17.99,7.1,4.4
"12021",23.22,33.23,12.2,8.6,5.2
"12023",3.75,15.1,22.8,8.4,5
"12027",17.54,9.71,17.92,10.9,6.2
"12029",3.09,7.86,11.89,9.4,5.6
"12031",9.71,27.3,38.52,8.3,4.9
"12033",5.11,24.51,31.04,8,5.1
"12035",12.39,22.98,18.59,9.4,5.6
"12037",3.07,15.53,18.01,6.1,4.2
"12039",5.92,16.99,59.43,9.7,5.9
"12041",3.23,11.44,8.41,8.4,5.5
"12043",12.33,8.39,20.13,7.4,6.7
"12045",2.6,15.96,22.05,7.9,4.3
"12047",4.04,9.91,39.28,7.2,4.7
"12049",16.72,10.66,17.45,10.6,6.8
"12051",25.63,9.76,26.21,13.2,9.6
"12053",6.54,15.64,10.06,10,6.2
"12055",10.27,16.67,16.96,10.5,6.8
"12057",15.84,30.56,28.87,7.4,4.5
"12059",2.33,11.29,10.95,8.5,5.8
"12061",10.16,26.81,13.83,10.8,6.5
"12063",3.12,13.65,30.8,8,5.2
"12065",2.56,18.49,39.08,8.8,5.2
"12067",6.42,11.62,22.68,5.3,4.1
"12069",8.01,21.51,16.64,8.3,4.9
"12071",15.47,26.01,15.46,8.4,4.7
"12073",7.02,45,37.77,6.4,4.6
"12075",3.65,10.89,12.65,8.8,5.3
"12077",4.98,11.16,22.03,7.3,5.3
"12079",3.36,11.29,41.96,8.4,5.3
"12081",12.37,27.69,15.38,7.8,4.7
"12083",7.45,17.81,18.32,9.6,6
"12085",10.08,31.61,12.89,8.1,5
"12086",51.65,26.92,24.25,8.2,5.3
"12087",17.7,31.31,10.9,5.5,3.2
"12089",2.8,23.04,9.61,7.6,4.5
"12091",6.58,28.84,20.67,6.3,4.2
"12093",12.82,10.63,14.57,10.2,5.7
"12095",19.74,31.11,35.53,7.7,4.3
"12097",19.85,17.98,24.3,9,5
"12099",23.37,33.57,25.01,8.2,5
"12101",9.45,21.45,11.32,8.6,5.3
"12103",11.59,28.87,17.36,7.5,4.4
"12105",9.93,18.88,21.23,9.3,5.7
"12107",4.28,11.82,22.24,11.7,5.9
"12109",6.76,42.08,10.68,6.1,3.8
"12111",15.28,19.89,26.84,10.8,5.8
"12113",4.32,26.6,14.14,6.9,4.6
"12115",12.3,32.42,8.82,8.2,4.7
"12117",11.97,35.35,20.39,7.6,4.3
"12119",5.69,28.01,11.66,9.9,7.1
"12121",5.76,11.63,17.24,7.6,5.2
"12123",2.64,9.03,24.97,8.9,5.8
"12125",2.42,7.83,26.04,6.8,4.5
"12127",7.49,21.62,17.08,9,5.1
"12129",2.62,16.09,18.14,6.5,4.1
"12131",5.88,25.9,13.07,6.9,4.3
"12133",2.24,11.14,20.34,8.2,5.1
"13001",3.71,13.13,23.33,10.6,6.2
"13003",13.38,7.78,33.19,11.2,4.7
"13005",6.03,12.77,22.06,8.9,5
"13007",2,8.58,49.48,10.7,7.9
"13009",2.57,17.73,45.41,11.2,7.1
"13011",3.89,11.15,6.58,7.8,4.8
"13013",7.11,16.51,19.49,8.1,4.7
"13015",4.56,17.77,16.33,9.4,5
"13017",2.37,10.9,38.95,13.5,8.3
"13019",2.48,12.49,15.86,9.7,5.8
"13021",3.66,23.8,57.05,10.2,6.3
"13023",1.92,16.5,30.03,13.3,8.8
"13025",0.65,8.41,5.48,11.6,6.5
"13027",3.24,11.69,40.85,8.8,5
"13029",4.72,31.11,21.69,7.8,4.9
"13031",3.87,29.02,34.08,9.1,5.4
"13033",2.05,9.59,52.17,11.5,8.7
"13035",2.77,10.09,30.35,9.9,5.4
"13037",4.87,9.92,66.05,7.3,5.9
"13039",3.03,21.12,24.85,8.2,5.7
"13043",5.39,15.38,33.23,8.3,4.5
"13045",4.09,17.94,23.58,9.8,5.8
"13047",2.29,18.64,6.87,7.1,4.8
"13049",9.52,9.95,28.16,8.9,5.6
"13051",6.74,32.57,46.32,8.7,5.1
"13053",6.82,25.73,30.07,11.3,8.4
"13055",3.06,8.83,13.69,9.8,5.9
"13057",9.08,34.66,13.5,6.6,4.2
"13059",10.02,40.2,35.29,8.2,5.3
"13061",1.71,7.78,68.2,11.8,9.2
"13063",14.94,18.34,78.09,11.6,6.4
"13065",1.88,13.45,32.81,10.1,5.6
"13067",15.59,44.13,38.47,7.3,4.5
"13069",5.38,13.66,33.77,11.1,5.7
"13071",10.83,13.05,31.59,8.9,5.1
"13073",6.55,35.34,24.52,6.7,4.8
"13075",3.12,12.85,30.86,9,5.2
"13077",5.73,27.56,22.73,7.4,4.8
"13079",1.4,12.79,26.2,9.4,7.7
"13081",2.13,14.6,46.11,13,6.8
"13083",2.4,14.08,4.33,7.3,5.1
"13085",3.85,27.55,5.02,8.1,4.7
"13087",2.72,15.82,46.92,9.5,6.5
"13089",16.42,41.09,64.86,9.1,5.3
"13091",2.31,14.67,33.46,11.7,10
"13093",4.39,9.17,55.87,11.1,6.9
"13095",2.28,18.87,71.12,10.9,6.7
"13097",8.23,25.99,48.83,9.2,5.3
"13099",0.94,15.2,52.25,9.7,6.4
"13101",13.54,8.3,16.35,7.1,4.3
"13103",2.12,16.93,17.24,7.9,4.8
"13105",2.6,10.62,33.18,11.6,6.3
"13107",1.02,10.83,38.91,12.8,7.6
"13109",5.25,15.41,41.6,8,4.7
"13111",1.6,16.15,3.15,9.4,5.1
"13113",9.32,43.8,29.02,7.1,4.6
"13115",6.52,18.59,22.64,10.3,5.8
"13117",14.39,45.62,15.1,6.2,4.1
"13119",3.03,12.61,14.54,11.2,5.5
"13121",12.39,49.3,54.35,8.7,5.3
"13123",6.24,16.68,7.64,10,5.5
"13125",0.78,8.09,11.63,9.7,6
"13127",5.51,27.26,33.22,9,5.7
"13129",9.42,13.69,9.74,9.1,5.4
"13131",5.78,13.28,35.27,8.4,5.5
"13133",4.87,24.66,40.81,11,6
"13135",24.62,34.67,47.76,7.4,4.7
"13137",9,17.51,12.18,9.4,5.6
"13139",15.7,22.68,17.27,7.3,4.6
"13141",2.6,10.34,75.46,20.4,8.6
"13143",1.6,14.1,8.59,9.9,5.3
"13145",2.22,26.62,21.5,6.7,4.8
"13147",2.22,13.59,22.68,10,5.6
"13149",0.2,10.11,12.92,9.7,5.5
"13151",7.44,26.99,47.29,9,5.4
"13153",5.84,23.47,38.47,7.8,6.3
"13155",0.79,10.64,31.43,11.3,7.4
"13157",4.29,19.21,11.57,7.6,4
"13159",3.26,11.91,26.12,9.2,4.7
"13161",5.83,9.66,23.95,10.9,6.5
"13163",2.12,10.06,56.63,13.8,7.3
"13165",4.11,12.2,37.36,13,7.2
"13167",0.94,8.94,37.42,10,6.3
"13169",0.92,19.67,27.42,8,4.8
"13171",2.34,17.13,34.54,11.6,6.3
"13173",2.15,12.7,27.57,9.2,5.6
"13175",2.39,15.12,38.67,11.6,7
"13177",3.79,23.23,24.96,7.2,4.7
"13179",6.03,18.73,51.92,8.5,5.9
"13181",1.53,12.14,33.81,10.5,5.7
"13183",7.39,15.02,35.26,8.2,5.6
"13185",4.04,23.46,42.21,8.7,5.3
"13187",3.67,28.09,5.36,7.7,4.9
"13189",1.85,14.16,43.69,12.3,7.2
"13191",1.87,13.11,38.47,9.2,6.3
"13193",3.15,7.94,63.18,14.1,11.5
"13195",3.73,15.57,14.91,8.2,4.8
"13197",4.67,12.18,41.23,9.9,6.9
"13199",1.16,9.29,42.43,11.3,6.4
"13201",0.15,12.81,31.33,7.9,5.1
"13205",2.15,11.37,50.75,8.6,6.2
"13207",1.74,21.32,26.64,8.3,5.1
"13209",4.4,14.57,29.11,10.9,7.2
"13211",2.13,22.07,26.14,8.8,5
"13213",7.77,10.32,4.92,12.3,7
"13215",5.44,24.14,54.18,9.4,6.7
"13217",5.78,20.16,46.09,10.5,5.8
"13219",5.42,44.88,11.06,5.9,4
"13221",1.66,17.15,22.07,8,4.7
"13223",4.78,23.81,21.99,7.9,4.5
"13225",5.95,20.93,52.47,10.7,9.9
"13227",3.36,25.11,4.65,8.4,4.8
"13229",2.54,14.23,13.57,9,5.3
"13231",1.08,16.02,12.68,9.1,5
"13233",7.66,13.12,23.98,9.7,5.8
"13235",2.25,12.06,37.12,9.2,7.3
"13237",6.9,17.48,31.06,11.3,6.9
"13239",0.69,6.69,50.39,8.8,8.2
"13241",6.85,25.89,7.43,10.9,5.9
"13243",2.71,14.65,65.24,11.4,8.1
"13245",3.62,20.41,60.93,10.3,7.1
"13247",10.04,25.53,55.75,9.8,5.6
"13249",1.66,14.73,26.35,10.2,6.4
